req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
Emplyoee management system also needs to be implemented.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.043,0.143,0,0.042,1.384,98,0.917,0,1.596,No
Recruitment exam should also be managable.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0,0,0,0,1.414,104,1,0,0,No
Performance evaluation of each staff should be automated.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.043,0,0,0.042,1.384,95,0.917,0,1.596,No
"Staff payment should be managed, and histories should be kept.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.032,0,0,0.042,1.391,98,0.924,0,1.705,No
"The ERP system should offer a range of predefined reports for different hospital functions, including patient demographics, financial performance, and inventory status.","The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.147,0.1,0,0.114,1.306,107,0.794,0,10.499,No
It must allow users to create custom reports and dashboards for specific analysis needs.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.066,0.5,0,0.069,1.367,89,0.871,0,3.929,No
The system should support data visualization tools to aid in decision-making.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.113,0.143,0,0.077,1.332,84,0.855,0,3.531,No
It must offer real-time analytics and historical data for trend analysis.,"The system shall allow the registration of new patients, capturing personal information, contact details, and medical history.",0.035,0,0,0.037,1.389,90,0.928,0,1.766,No
"The ERP system must support patient identification using unique identifiers, such as medical record numbers.","It should enable patient admission and discharge processes, including bed allocation and release.",0.035,0.25,0,0.038,1.389,79,0.928,0,2.014,No
It must provide real-time access to patient records for authorized healthcare professionals.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.078,0,0,0.091,1.358,72,0.84,0,3.493,No
Anyone should be able to access patient records.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.102,0,0,0.111,1.34,70,0.806,0,2.899,No
Bed allocation will be manual.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.135,0.2,0,0.062,1.315,76,0.882,0,1.276,No
All patient should be given an id.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.11,0,0,0.118,1.334,71,0.795,0,2.772,No
"The system should allow staff to schedule patient appointments for various services, including consultations, diagnostic tests, and surgeries.","It should enable patient admission and discharge processes, including bed allocation and release.",0.186,0.333,0,0.154,1.276,90,0.718,0,9.284,No
Appointment scheduling should consider the availability of healthcare providers and the resources required.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.115,0,0,0.091,1.331,83,0.817,0,3.663,No
"Patients should be able to request, reschedule, or cancel appointments through a patient portal.","It should enable patient admission and discharge processes, including bed allocation and release.",0.078,0.5,0,0.083,1.358,72,0.852,0,3.841,No
Automatic appointment reminders via email or SMS should be sent to patients.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.039,0,0,0.043,1.386,70,0.92,0,1.746,No
An appointment cannot be reshceduled.,"It should enable patient admission and discharge processes, including bed allocation and release.",0,0,0,0,1.414,76,1,0,0,No
Doctor should be able to manage appointments.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.052,0,0,0.056,1.377,71,0.897,0,1.386,No
Appointment scheduling should have an eye on the availablity of the doctor.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.036,0,0,0.045,1.388,74,0.92,0,1.746,No
"The ERP system should track the inventory of medical supplies, drugs, and equipment.","It should enable patient admission and discharge processes, including bed allocation and release.",0.115,0,0,0.087,1.331,78,0.817,0,3.663,No
It must provide alerts for low stock levels and automate the reordering process.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.124,0,0,0.087,1.324,71,0.817,0,3.663,No
The system should allow for the categorization and easy retrieval of medical supplies and equipment.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.176,0,0,0.083,1.284,72,0.785,0,4.027,No
It must support barcode scanning for efficient tracking and stock management.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.136,0,0,0.095,1.315,68,0.8,0,3.332,No
It should support QR code to track stocks.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.102,0,0,0.111,1.34,72,0.806,0,2.899,No
"When the supply stock is low, it must notify.","It should enable patient admission and discharge processes, including bed allocation and release.",0.046,0,0,0,1.382,75,1,0,0,No
Software should monitor the medicine stocks.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.057,0,0,0.059,1.374,74,0.89,0,1.328,No
"The system must store and manage electronic health records for patients, including medical history, treatment plans, test results, and medications.","It should enable patient admission and discharge processes, including bed allocation and release.",0.162,0.333,0,0.069,1.295,102,0.816,0,5.102,No
EHRs should be accessible to authorized healthcare providers for updating and reference.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.129,0,0,0.091,1.32,62,0.809,0,3.493,No
"It should support standardized coding systems (e.g., SNOMED CT, ICD-10) for diagnoses and procedures.","It should enable patient admission and discharge processes, including bed allocation and release.",0.165,0,0,0.13,1.292,72,0.75,0,5.761,No
The system must ensure data integrity and security of EHRs to comply with healthcare regulations.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.074,0,0,0.038,1.361,74,0.903,0,2.014,No
All the data must be encrypted.,"It should enable patient admission and discharge processes, including bed allocation and release.",0,0,0,0,1.414,79,1,0,0,No
"The system should generate accurate bills for patients, including detailed information on services provided, medications, and associated costs.","It should enable patient admission and discharge processes, including bed allocation and release.",0.144,0.333,0,0.111,1.309,95,0.783,0,6.963,No
It must integrate with insurance systems for verification and claim processing.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.136,0,0,0.095,1.315,67,0.8,0,3.332,No
The ERP system should facilitate electronic payments and allow for multiple payment methods.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.124,0,0,0.087,1.324,78,0.817,0,3.663,No
It should provide financial reporting and analytics for hospital administrators.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.2,0,0,0.158,1.265,68,0.702,0,4.768,No
Insurance will also be managed through this software.,"It should enable patient admission and discharge processes, including bed allocation and release.",0,0,0,0,1.414,71,1,0,0,No
All kinds of payments should be done through online banking.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.043,0,0,0.048,1.383,72,0.913,0,1.589,No
"The system must manage employee records, including personal details, qualifications, and work history.","It should enable patient admission and discharge processes, including bed allocation and release.",0.124,0.333,0,0.087,1.324,76,0.817,0,3.663,No
"It should support the recruitment process, from posting job vacancies to candidate selection.","It should enable patient admission and discharge processes, including bed allocation and release.",0.078,0,0,0.087,1.358,68,0.846,0,3.663,No
"HR functions should include payroll management, leave tracking, and performance evaluations.","It should enable patient admission and discharge processes, including bed allocation and release.",0.136,0,0,0.095,1.315,77,0.8,0,3.332,No
The system should ensure compliance with labor laws and regulations.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.143,0,0,0.1,1.309,71,0.79,0,3.179,No
Emplyoee management system also needs to be implemented.,"It should enable patient admission and discharge processes, including bed allocation and release.",0,0,0,0,1.414,73,1,0,0,No
Recruitment exam should also be managable.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.057,0,0,0.059,1.374,74,0.89,0,1.328,No
Performance evaluation of each staff should be automated.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.049,0,0,0.053,1.379,70,0.903,0,1.449,No
"Staff payment should be managed, and histories should be kept.","It should enable patient admission and discharge processes, including bed allocation and release.",0.168,0,0,0.111,1.29,71,0.759,0,3.179,No
"The ERP system should offer a range of predefined reports for different hospital functions, including patient demographics, financial performance, and inventory status.","It should enable patient admission and discharge processes, including bed allocation and release.",0.171,0.333,0,0.133,1.288,115,0.748,0,11.216,No
It must allow users to create custom reports and dashboards for specific analysis needs.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.119,0,0,0.083,1.327,71,0.824,0,3.841,No
The system should support data visualization tools to aid in decision-making.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.039,0,0,0.045,1.386,74,0.917,0,1.666,No
It must offer real-time analytics and historical data for trend analysis.,"It should enable patient admission and discharge processes, including bed allocation and release.",0.129,0,0,0.095,1.32,69,0.8,0,3.332,No
It must provide real-time access to patient records for authorized healthcare professionals.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.078,0,0,0.08,1.358,85,0.851,0,3.579,No
Anyone should be able to access patient records.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.049,0,0,0.045,1.379,82,0.911,0,1.527,No
Bed allocation will be manual.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,89,1,0,0,No
All patient should be given an id.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.052,0,0,0.048,1.377,86,0.905,0,1.472,No
"The system should allow staff to schedule patient appointments for various services, including consultations, diagnostic tests, and surgeries.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.102,0.25,0,0.1,1.34,95,0.818,0,6.868,No
Appointment scheduling should consider the availability of healthcare providers and the resources required.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.074,0,0,0,1.361,89,1,0,0,No
"Patients should be able to request, reschedule, or cancel appointments through a patient portal.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.038,0.25,0,0.036,1.387,86,0.931,0,1.942,No
Automatic appointment reminders via email or SMS should be sent to patients.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,81,1,0,0,No
An appointment cannot be reshceduled.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,83,1,0,0,No
Doctor should be able to manage appointments.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,88,1,0,0,No
Appointment scheduling should have an eye on the availablity of the doctor.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.077,0,0,0,1.359,85,1,0,0,No
"The ERP system should track the inventory of medical supplies, drugs, and equipment.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.206,0.333,0,0.167,1.26,69,0.714,0.043,7.457,No
It must provide alerts for low stock levels and automate the reordering process.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.078,0,0,0.037,1.358,81,0.928,0,1.864,No
The system should allow for the categorization and easy retrieval of medical supplies and equipment.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.138,0.25,0,0.115,1.313,72,0.8,0,6.071,No
It must support barcode scanning for efficient tracking and stock management.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.085,0.5,0,0.083,1.352,72,0.845,0,3.437,No
It should support QR code to track stocks.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.049,0.5,0,0.045,1.379,83,0.911,0,1.527,No
"When the supply stock is low, it must notify.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.096,0,0,0.043,1.345,84,0.915,0,1.587,No
Software should monitor the medicine stocks.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.057,0,0,0,1.374,85,1,0,0,No
"The system must store and manage electronic health records for patients, including medical history, treatment plans, test results, and medications.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.125,0.25,0,0.133,1.323,102,0.77,0,9.941,No
EHRs should be accessible to authorized healthcare providers for updating and reference.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,84,1,0,0,No
"It should support standardized coding systems (e.g., SNOMED CT, ICD-10) for diagnoses and procedures.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.036,0.333,0,0.036,1.388,83,0.931,0,1.942,No
The system must ensure data integrity and security of EHRs to comply with healthcare regulations.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.112,0.167,0,0.111,1.332,73,0.8,0,6.071,No
All the data must be encrypted.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.121,0,0,0.05,1.326,90,0.899,0,1.421,No
"The system should generate accurate bills for patients, including detailed information on services provided, medications, and associated costs.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.066,0.125,0,0.065,1.367,99,0.879,0,4.579,No
It must integrate with insurance systems for verification and claim processing.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.041,0,0,0.04,1.385,81,0.923,0,1.719,No
The ERP system should facilitate electronic payments and allow for multiple payment methods.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.122,0.333,0,0.12,1.325,71,0.785,0.043,5.593,No
It should provide financial reporting and analytics for hospital administrators.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,80,1,0,0,No
Insurance will also be managed through this software.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,85,1,0,0,No
All kinds of payments should be done through online banking.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,83,1,0,0,No
"The system must manage employee records, including personal details, qualifications, and work history.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.122,0.143,0,0.12,1.325,72,0.785,0,5.593,No
"It should support the recruitment process, from posting job vacancies to candidate selection.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.078,0.333,0,0.037,1.358,81,0.928,0,1.864,No
"HR functions should include payroll management, leave tracking, and performance evaluations.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,87,1,0,0,No
The system should ensure compliance with labor laws and regulations.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.09,0.167,0,0.087,1.349,75,0.838,0,3.302,No
Emplyoee management system also needs to be implemented.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.049,0.167,0,0.045,1.379,82,0.911,0,1.527,No
Recruitment exam should also be managable.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,87,1,0,0,No
Performance evaluation of each staff should be automated.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,82,1,0,0,No
"Staff payment should be managed, and histories should be kept.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0,0,0,0,1.414,81,1,0,0,No
"The ERP system should offer a range of predefined reports for different hospital functions, including patient demographics, financial performance, and inventory status.","The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.129,0.25,0,0.121,1.32,111,0.782,0.031,10.79,No
It must allow users to create custom reports and dashboards for specific analysis needs.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.036,0,0,0.036,1.388,81,0.931,0,1.942,No
The system should support data visualization tools to aid in decision-making.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.127,0.5,0,0.13,1.321,68,0.768,0,5.156,No
It must offer real-time analytics and historical data for trend analysis.,"The ERP system must support patient identification using unique identifiers, such as medical record numbers.",0.039,0,0,0.04,1.386,79,0.923,0,1.719,No
Anyone should be able to access patient records.,It must provide real-time access to patient records for authorized healthcare professionals.,0.248,0.5,0,0.176,1.226,63,0.697,0,4.215,Yes
Bed allocation will be manual.,It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,75,1,0,0,No
All patient should be given an id.,It must provide real-time access to patient records for authorized healthcare professionals.,0.056,0,0,0.056,1.374,72,0.893,0,1.338,No
"The system should allow staff to schedule patient appointments for various services, including consultations, diagnostic tests, and surgeries.",It must provide real-time access to patient records for authorized healthcare professionals.,0.11,0,0,0.111,1.334,100,0.798,0,7.029,No
Appointment scheduling should consider the availability of healthcare providers and the resources required.,It must provide real-time access to patient records for authorized healthcare professionals.,0.038,0,0,0.043,1.387,84,0.92,0,1.813,No
"Patients should be able to request, reschedule, or cancel appointments through a patient portal.",It must provide real-time access to patient records for authorized healthcare professionals.,0.084,0,0,0.083,1.353,72,0.846,0,3.817,No
Automatic appointment reminders via email or SMS should be sent to patients.,It must provide real-time access to patient records for authorized healthcare professionals.,0.042,0,0,0.043,1.384,66,0.917,0,1.722,No
An appointment cannot be reshceduled.,It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,71,1,0,0,No
Doctor should be able to manage appointments.,It must provide real-time access to patient records for authorized healthcare professionals.,0.056,0,0,0.056,1.374,68,0.893,0,1.338,No
Appointment scheduling should have an eye on the availablity of the doctor.,It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,73,1,0,0,No
"The ERP system should track the inventory of medical supplies, drugs, and equipment.",It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,74,1,0,0,No
It must provide alerts for low stock levels and automate the reordering process.,It must provide real-time access to patient records for authorized healthcare professionals.,0.184,0.5,0,0.19,1.278,52,0.68,0.05,7.252,No
The system should allow for the categorization and easy retrieval of medical supplies and equipment.,It must provide real-time access to patient records for authorized healthcare professionals.,0.033,0,0,0.04,1.39,75,0.926,0,2.009,No
It must support barcode scanning for efficient tracking and stock management.,It must provide real-time access to patient records for authorized healthcare professionals.,0.145,0,0,0.15,1.308,64,0.739,0,4.908,No
It should support QR code to track stocks.,It must provide real-time access to patient records for authorized healthcare professionals.,0.11,0,0,0.111,1.334,66,0.798,0,2.81,No
"When the supply stock is low, it must notify.",It must provide real-time access to patient records for authorized healthcare professionals.,0.103,0,0,0.05,1.339,74,0.904,0,1.477,No
Software should monitor the medicine stocks.,It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,69,1,0,0,No
"The system must store and manage electronic health records for patients, including medical history, treatment plans, test results, and medications.",It must provide real-time access to patient records for authorized healthcare professionals.,0.099,0.1,0,0.107,1.343,101,0.809,0,7.787,No
EHRs should be accessible to authorized healthcare providers for updating and reference.,It must provide real-time access to patient records for authorized healthcare professionals.,0.193,0.25,0,0.2,1.271,66,0.667,0,6.888,No
"It should support standardized coding systems (e.g., SNOMED CT, ICD-10) for diagnoses and procedures.",It must provide real-time access to patient records for authorized healthcare professionals.,0.081,0,0,0.083,1.356,80,0.846,0,3.817,No
The system must ensure data integrity and security of EHRs to comply with healthcare regulations.,It must provide real-time access to patient records for authorized healthcare professionals.,0.122,0,0,0.125,1.325,67,0.777,0,6.027,No
All the data must be encrypted.,It must provide real-time access to patient records for authorized healthcare professionals.,0.061,0,0,0.059,1.37,75,0.885,0,1.276,No
"The system should generate accurate bills for patients, including detailed information on services provided, medications, and associated costs.",It must provide real-time access to patient records for authorized healthcare professionals.,0.034,0,0,0.034,1.39,98,0.933,0,2.343,No
It must integrate with insurance systems for verification and claim processing.,It must provide real-time access to patient records for authorized healthcare professionals.,0.145,0,0,0.15,1.308,57,0.739,0,4.908,No
The ERP system should facilitate electronic payments and allow for multiple payment methods.,It must provide real-time access to patient records for authorized healthcare professionals.,0.04,0,0,0.042,1.385,71,0.92,0,1.813,No
It should provide financial reporting and analytics for hospital administrators.,It must provide real-time access to patient records for authorized healthcare professionals.,0.153,0.5,0,0.158,1.301,63,0.727,0,4.663,No
Insurance will also be managed through this software.,It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,65,1,0,0,No
All kinds of payments should be done through online banking.,It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,71,1,0,0,No
"The system must manage employee records, including personal details, qualifications, and work history.",It must provide real-time access to patient records for authorized healthcare professionals.,0.084,0.143,0,0.042,1.353,77,0.92,0,1.813,No
"It should support the recruitment process, from posting job vacancies to candidate selection.",It must provide real-time access to patient records for authorized healthcare professionals.,0.084,0,0,0.087,1.353,66,0.84,0,3.626,No
"HR functions should include payroll management, leave tracking, and performance evaluations.",It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,70,1,0,0,No
The system should ensure compliance with labor laws and regulations.,It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,66,1,0,0,No
Emplyoee management system also needs to be implemented.,It must provide real-time access to patient records for authorized healthcare professionals.,0.052,0,0,0.053,1.377,68,0.899,0,1.405,No
Recruitment exam should also be managable.,It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,72,1,0,0,No
Performance evaluation of each staff should be automated.,It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,70,1,0,0,No
"Staff payment should be managed, and histories should be kept.",It must provide real-time access to patient records for authorized healthcare professionals.,0,0,0,0,1.414,68,1,0,0,No
"The ERP system should offer a range of predefined reports for different hospital functions, including patient demographics, financial performance, and inventory status.",It must provide real-time access to patient records for authorized healthcare professionals.,0.065,0,0,0.062,1.367,126,0.879,0,5.752,No
It must allow users to create custom reports and dashboards for specific analysis needs.,It must provide real-time access to patient records for authorized healthcare professionals.,0.176,0,0,0.182,1.284,64,0.692,0,7.634,No
The system should support data visualization tools to aid in decision-making.,It must provide real-time access to patient records for authorized healthcare professionals.,0.042,0,0,0.045,1.384,68,0.913,0,1.636,No
It must offer real-time analytics and historical data for trend analysis.,It must provide real-time access to patient records for authorized healthcare professionals.,0.253,0.5,0,0.211,1.223,54,0.652,0,6.544,No
Bed allocation will be manual.,Anyone should be able to access patient records.,0.087,1,0,0.083,1.351,38,0.844,0,0.913,No
All patient should be given an id.,Anyone should be able to access patient records.,0.253,0.5,0,0.25,1.222,33,0.6,0,3.185,No
"The system should allow staff to schedule patient appointments for various services, including consultations, diagnostic tests, and surgeries.",Anyone should be able to access patient records.,0.146,0,0,0.13,1.307,109,0.759,0,7.453,No
Appointment scheduling should consider the availability of healthcare providers and the resources required.,Anyone should be able to access patient records.,0.049,0,0,0.053,1.379,73,0.903,0,1.685,No
"Patients should be able to request, reschedule, or cancel appointments through a patient portal.",Anyone should be able to access patient records.,0.332,0.5,0,0.294,1.156,61,0.536,0.125,9.096,Yes
Automatic appointment reminders via email or SMS should be sent to patients.,Anyone should be able to access patient records.,0.183,0.5,0,0.176,1.278,57,0.697,0,4.68,No
An appointment cannot be reshceduled.,Anyone should be able to access patient records.,0.087,0.5,0,0.083,1.351,38,0.844,0,0.913,No
Doctor should be able to manage appointments.,Anyone should be able to access patient records.,0.368,1,0,0.364,1.124,22,0.466,0.222,4.247,Yes
