req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
User can add a product to the cart.,"The user can add his personal information including name, address etc.",0.301,0.5,0,0.118,1.183,46,0.788,0,2.711,No
"In the cart, any item can be removed or count can be changed.","The user can add his personal information including name, address etc.",0.126,0,0,0.048,1.322,51,0.884,0,1.792,No
Cart should be easy and dynamic to use.,"The user can add his personal information including name, address etc.",0,0,0,0,1.414,53,1,0,0,No
Confirmation of cart will take the user to the checkout page.,"The user can add his personal information including name, address etc.",0.148,0.2,0,0.05,1.305,59,0.909,0,1.602,No
Cart will be saved even if the user logs out.,"The user can add his personal information including name, address etc.",0.107,0.2,0,0.05,1.337,54,0.905,0,1.515,No
Cart products cannot be changed.,"The user can add his personal information including name, address etc.",0,0,0,0,1.414,55,1,0,0,No
Cart will be empty if the user session ends.,"The user can add his personal information including name, address etc.",0.113,0.2,0,0.053,1.332,56,0.9,0,1.433,No
Multiple products will be added to cart.,"The user can add his personal information including name, address etc.",0,0,0,0,1.414,56,1,0,0,No
"In admin panel, the admin can add products to different categories.","The user can add his personal information including name, address etc.",0.145,0.5,0,0.105,1.308,58,0.818,0,3.204,No
Admin can manage stocks in the inventory.,"The user can add his personal information including name, address etc.",0.13,0,0,0.059,1.319,53,0.887,0,1.284,No
Discount can be applied on any product.,"The user can add his personal information including name, address etc.",0.061,0,0,0.059,1.37,53,0.887,0,1.284,No
A product can have multiple variants.,"The user can add his personal information including name, address etc.",0.074,0,0,0.062,1.361,55,0.879,0,1.217,No
A product can belong to different categories.,"The user can add his personal information including name, address etc.",0.067,0,0,0.059,1.366,52,0.887,0,1.284,No
A product cannot have types.,"The user can add his personal information including name, address etc.",0,0,0,0,1.414,55,1,0,0,No
Product with stock zero will be deleted.,"The user can add his personal information including name, address etc.",0,0,0,0,1.414,52,1,0,0,No
A restocked product should appear normally.,"The user can add his personal information including name, address etc.",0,0,0,0,1.414,56,1,0,0,No
User can search for a specific product.,User can bookmark any product he likes.,0.304,1,0,0.167,1.18,26,0.714,0,1.892,Yes
User can filter product by categories.,User can bookmark any product he likes.,0.304,0.667,0,0.3,1.18,21,0.538,0,2.6,Yes
An account will be provided to the user to log in.,User can bookmark any product he likes.,0.056,0,0,0,1.374,39,1,0,0,No
User can filter product by categories and prices.,User can bookmark any product he likes.,0.253,0.5,0,0.25,1.222,30,0.6,0,3.1,Yes
The user can add his name and photo.,User can bookmark any product he likes.,0.156,0,0,0.071,1.299,30,0.867,0,1.033,No
User can search a product.,User can bookmark any product he likes.,0.407,1,0,0.2,1.089,18,0.664,0,1.589,Yes
User can not save any product.,User can bookmark any product he likes.,0.45,1,0,0.3,1.049,15,0.538,0,2.6,Yes
"By clicking on a product, user can view details of a product.",User can bookmark any product he likes.,0.287,0.333,0,0.059,1.194,47,0.893,0,1.468,No
"Clicking on Buy Now, will take the user to checkout page.",User can bookmark any product he likes.,0.061,0,0,0,1.37,44,1,0,0,No
User must be logged in to checkout.,User can bookmark any product he likes.,0.078,0.5,0,0.077,1.358,26,0.857,0,0.946,No
"In the checkout page, the user can add a new address different from his own.",User can bookmark any product he likes.,0.107,0,0,0.05,1.337,60,0.905,0,1.916,No
The user can pay via Online Banking or select a cash on delivery method.,User can bookmark any product he likes.,0.119,0,0,0.05,1.327,49,0.902,0,1.752,No
Products must have details to show.,User can bookmark any product he likes.,0,0,0,0,1.414,31,1,0,0,No
The delivery address will be the same of the user's address.,User can bookmark any product he likes.,0.046,0,0,0,1.381,48,1,0,0,No
Cash on delivery is not an option.,User can bookmark any product he likes.,0,0,0,0,1.414,29,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,User can bookmark any product he likes.,0.061,0.167,0,0.059,1.37,42,0.887,0,1.345,No
User can add a product to the cart.,User can bookmark any product he likes.,0.275,0.667,0,0.25,1.204,18,0.6,0,3.1,No
"In the cart, any item can be removed or count can be changed.",User can bookmark any product he likes.,0.162,0,0,0.125,1.294,44,0.749,0,3.207,No
Cart should be easy and dynamic to use.,User can bookmark any product he likes.,0,0,0,0,1.414,30,1,0,0,No
Confirmation of cart will take the user to the checkout page.,User can bookmark any product he likes.,0.056,0,0,0,1.374,45,1,0,0,No
Cart will be saved even if the user logs out.,User can bookmark any product he likes.,0.064,0,0,0,1.368,36,1,0,0,No
Cart products cannot be changed.,User can bookmark any product he likes.,0,0,0,0,1.414,29,1,0,0,No
Cart will be empty if the user session ends.,User can bookmark any product he likes.,0.068,0,0,0,1.365,32,1,0,0,No
Multiple products will be added to cart.,User can bookmark any product he likes.,0,0,0,0,1.414,33,1,0,0,No
"In admin panel, the admin can add products to different categories.",User can bookmark any product he likes.,0.056,0,0,0.062,1.374,46,0.887,0,1.345,No
Admin can manage stocks in the inventory.,User can bookmark any product he likes.,0.078,0,0,0.077,1.358,31,0.857,0,0.946,No
Discount can be applied on any product.,User can bookmark any product he likes.,0.275,0.5,0,0.167,1.204,28,0.714,0,1.892,No
A product can have multiple variants.,User can bookmark any product he likes.,0.206,0.5,0,0.182,1.26,32,0.692,0,1.733,No
A product can belong to different categories.,User can bookmark any product he likes.,0.184,0.5,0,0.167,1.277,31,0.714,0,1.892,No
A product cannot have types.,User can bookmark any product he likes.,0.106,0.5,0,0.091,1.337,28,0.832,0,0.794,No
Product with stock zero will be deleted.,User can bookmark any product he likes.,0.078,0,0,0,1.358,32,1,0,0,No
A restocked product should appear normally.,User can bookmark any product he likes.,0.093,0.5,0,0.083,1.346,37,0.846,0,0.867,No
User can filter product by categories.,User can search for a specific product.,0.336,0.667,0,0.182,1.152,26,0.692,0,1.733,Yes
An account will be provided to the user to log in.,User can search for a specific product.,0.061,0,0,0,1.37,39,1,0,0,No
User can filter product by categories and prices.,User can search for a specific product.,0.28,0.5,0,0.154,1.2,31,0.733,0,2.067,Yes
The user can add his name and photo.,User can search for a specific product.,0.171,0,0,0.071,1.288,27,0.867,0,1.033,No
User can search a product.,User can search for a specific product.,0.709,1,0,0.714,0.762,13,0.16,0.143,3.971,Yes
User can not save any product.,User can search for a specific product.,0.336,1,0,0.3,1.152,18,0.538,0,2.6,Yes
"By clicking on a product, user can view details of a product.",User can search for a specific product.,0.317,0.333,0,0.2,1.169,38,0.631,0,4.405,No
"Clicking on Buy Now, will take the user to checkout page.",User can search for a specific product.,0.067,0,0,0,1.366,46,1,0,0,No
User must be logged in to checkout.,User can search for a specific product.,0.085,0.5,0,0.077,1.353,26,0.857,0,0.946,No
"In the checkout page, the user can add a new address different from his own.",User can search for a specific product.,0.117,0,0,0.105,1.329,58,0.811,0,3.832,No
The user can pay via Online Banking or select a cash on delivery method.,User can search for a specific product.,0.13,0,0,0.105,1.319,52,0.803,0,3.504,No
Products must have details to show.,User can search for a specific product.,0,0,0,0,1.414,32,1,0,0,No
The delivery address will be the same of the user's address.,User can search for a specific product.,0.05,0,0,0,1.378,46,1,0,0,No
Cash on delivery is not an option.,User can search for a specific product.,0,0,0,0,1.414,31,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,User can search for a specific product.,0.067,0.167,0,0.059,1.366,43,0.887,0,1.345,No
User can add a product to the cart.,User can search for a specific product.,0.304,0.667,0,0.25,1.18,24,0.6,0,3.1,No
"In the cart, any item can be removed or count can be changed.",User can search for a specific product.,0.111,0,0,0.059,1.333,46,0.852,0,1.604,No
Cart should be easy and dynamic to use.,User can search for a specific product.,0,0,0,0,1.414,31,1,0,0,No
Confirmation of cart will take the user to the checkout page.,User can search for a specific product.,0.061,0,0,0,1.37,47,1,0,0,No
Cart will be saved even if the user logs out.,User can search for a specific product.,0.07,0,0,0,1.364,34,1,0,0,No
Cart products cannot be changed.,User can search for a specific product.,0,0,0,0,1.414,33,1,0,0,No
Cart will be empty if the user session ends.,User can search for a specific product.,0.074,0,0,0,1.361,36,1,0,0,No
Multiple products will be added to cart.,User can search for a specific product.,0,0,0,0,1.414,34,1,0,0,No
"In admin panel, the admin can add products to different categories.",User can search for a specific product.,0.061,0,0,0.062,1.37,51,0.887,0,1.345,No
Admin can manage stocks in the inventory.,User can search for a specific product.,0.085,0,0,0.077,1.353,31,0.857,0,0.946,No
Discount can be applied on any product.,User can search for a specific product.,0.184,0.5,0,0.167,1.277,26,0.714,0,1.892,No
A product can have multiple variants.,User can search for a specific product.,0.226,0.5,0,0.083,1.244,32,0.846,0,0.867,No
A product can belong to different categories.,User can search for a specific product.,0.202,0.5,0,0.077,1.263,32,0.857,0,0.946,No
A product cannot have types.,User can search for a specific product.,0.115,0.5,0,0,1.33,32,1,0,0,No
Product with stock zero will be deleted.,User can search for a specific product.,0.085,0,0,0,1.353,33,1,0,0,No
A restocked product should appear normally.,User can search for a specific product.,0.102,0.5,0,0,1.34,34,1,0,0,No
An account will be provided to the user to log in.,User can filter product by categories.,0.061,0,0,0,1.37,34,1,0,0,No
User can filter product by categories and prices.,User can filter product by categories.,0.777,1,0,0.556,0.669,11,0.282,0.667,4.331,Yes
The user can add his name and photo.,User can filter product by categories.,0.171,0,0,0.077,1.288,30,0.856,0,0.866,No
User can search a product.,User can filter product by categories.,0.45,0.667,0,0.222,1.049,22,0.636,0,1.273,Yes
User can not save any product.,User can filter product by categories.,0.336,0.667,0,0.2,1.152,23,0.667,0,1.411,No
"By clicking on a product, user can view details of a product.",User can filter product by categories.,0.432,0.333,0,0.062,1.066,44,0.885,0,1.306,No
"Clicking on Buy Now, will take the user to checkout page.",User can filter product by categories.,0.067,0,0,0,1.366,45,1,0,0,No
User must be logged in to checkout.,User can filter product by categories.,0.085,0.333,0,0.083,1.353,27,0.846,0,0.782,No
"In the checkout page, the user can add a new address different from his own.",User can filter product by categories.,0.117,0,0,0.053,1.329,61,0.899,0,1.795,No
The user can pay via Online Banking or select a cash on delivery method.,User can filter product by categories.,0.13,0,0,0.053,1.319,50,0.895,0,1.612,No
Products must have details to show.,User can filter product by categories.,0,0,0,0,1.414,31,1,0,0,No
The delivery address will be the same of the user's address.,User can filter product by categories.,0.05,0,0,0,1.378,47,1,0,0,No
Cash on delivery is not an option.,User can filter product by categories.,0,0,0,0,1.414,27,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,User can filter product by categories.,0.067,0.167,0,0.062,1.366,39,0.879,0,1.178,No
User can add a product to the cart.,User can filter product by categories.,0.304,0.667,0,0.273,1.18,17,0.569,0,2.599,No
"In the cart, any item can be removed or count can be changed.",User can filter product by categories.,0.111,0,0,0.062,1.333,44,0.84,0,1.45,No
Cart should be easy and dynamic to use.,User can filter product by categories.,0,0,0,0,1.414,33,1,0,0,No
Confirmation of cart will take the user to the checkout page.,User can filter product by categories.,0.061,0,0,0,1.37,45,1,0,0,No
Cart will be saved even if the user logs out.,User can filter product by categories.,0.07,0,0,0,1.364,37,1,0,0,No
Cart products cannot be changed.,User can filter product by categories.,0,0,0,0,1.414,27,1,0,0,No
Cart will be empty if the user session ends.,User can filter product by categories.,0.074,0,0,0,1.361,35,1,0,0,No
Multiple products will be added to cart.,User can filter product by categories.,0,0,0,0,1.414,31,1,0,0,No
"In admin panel, the admin can add products to different categories.",User can filter product by categories.,0.13,0.25,0,0.143,1.319,41,0.759,0,2.356,No
Admin can manage stocks in the inventory.,User can filter product by categories.,0.085,0,0,0.083,1.353,30,0.846,0,0.782,No
Discount can be applied on any product.,User can filter product by categories.,0.184,0.333,0,0.083,1.277,31,0.846,0,0.782,No
A product can have multiple variants.,User can filter product by categories.,0.226,0.333,0,0.2,1.244,30,0.667,0,1.411,No
A product can belong to different categories.,User can filter product by categories.,0.336,0.667,0,0.3,1.152,24,0.538,0,2.345,Yes
A product cannot have types.,User can filter product by categories.,0.115,0.333,0,0.1,1.33,27,0.818,0,0.637,No
Product with stock zero will be deleted.,User can filter product by categories.,0.085,0,0,0,1.353,31,1,0,0,No
A restocked product should appear normally.,User can filter product by categories.,0.102,0.333,0,0.091,1.34,31,0.833,0,0.705,No
User can filter product by categories and prices.,An account will be provided to the user to log in.,0.052,0,0,0,1.377,37,1,0,0,No
The user can add his name and photo.,An account will be provided to the user to log in.,0.11,0.333,0,0.059,1.334,41,0.894,0,1.355,No
User can search a product.,An account will be provided to the user to log in.,0.076,0,0,0,1.359,40,1,0,0,No
User can not save any product.,An account will be provided to the user to log in.,0.061,0,0,0,1.37,39,1,0,0,No
"By clicking on a product, user can view details of a product.",An account will be provided to the user to log in.,0.042,0,0,0.05,1.384,45,0.913,0,1.694,No
"Clicking on Buy Now, will take the user to checkout page.",An account will be provided to the user to log in.,0.273,0.333,0,0.235,1.206,38,0.602,0.059,6.408,No
User must be logged in to checkout.,An account will be provided to the user to log in.,0.366,0.333,0,0.133,1.126,34,0.727,0,2.567,Yes
"In the checkout page, the user can add a new address different from his own.",An account will be provided to the user to log in.,0.165,0.25,0,0.091,1.292,52,0.813,0,4.009,No
The user can pay via Online Banking or select a cash on delivery method.,An account will be provided to the user to log in.,0.084,0.167,0,0.043,1.353,56,0.92,0,1.895,No
Products must have details to show.,An account will be provided to the user to log in.,0.13,0,0,0.067,1.319,37,0.826,0,1.217,No
The delivery address will be the same of the user's address.,An account will be provided to the user to log in.,0.253,0.333,0,0.176,1.222,38,0.693,0,4.806,No
Cash on delivery is not an option.,An account will be provided to the user to log in.,0.056,0,0,0,1.374,35,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,An account will be provided to the user to log in.,0.092,0,0,0.05,1.347,46,0.909,0,1.602,No
User can add a product to the cart.,An account will be provided to the user to log in.,0.272,0,0,0.125,1.207,31,0.744,0,2.711,No
"In the cart, any item can be removed or count can be changed.",An account will be provided to the user to log in.,0.159,0.25,0,0.105,1.297,45,0.8,0,3.584,No
Cart should be easy and dynamic to use.,An account will be provided to the user to log in.,0.177,0.333,0,0.125,1.283,37,0.744,0,2.711,No
Confirmation of cart will take the user to the checkout page.,An account will be provided to the user to log in.,0.318,0.2,0,0.25,1.168,38,0.568,0.059,6.408,No
Cart will be saved even if the user logs out.,An account will be provided to the user to log in.,0.215,0.5,0,0.25,1.253,25,0.619,0,6.059,No
Cart products cannot be changed.,An account will be provided to the user to log in.,0.067,0.333,0,0.071,1.366,38,0.87,0,1.158,No
Cart will be empty if the user session ends.,An account will be provided to the user to log in.,0.23,0.333,0,0.267,1.241,27,0.599,0,5.73,No
Multiple products will be added to cart.,An account will be provided to the user to log in.,0.272,0.333,0,0.214,1.207,34,0.614,0,3.851,No
"In admin panel, the admin can add products to different categories.",An account will be provided to the user to log in.,0.188,0,0,0.111,1.274,47,0.784,0,3.204,No
Admin can manage stocks in the inventory.,An account will be provided to the user to log in.,0.119,0,0,0.062,1.327,35,0.887,0,1.284,No
Discount can be applied on any product.,An account will be provided to the user to log in.,0.056,0.333,0,0.062,1.374,31,0.887,0,1.284,No
A product can have multiple variants.,An account will be provided to the user to log in.,0,0,0,0,1.414,37,1,0,0,No
A product can belong to different categories.,An account will be provided to the user to log in.,0.13,0,0,0.062,1.319,35,0.839,0,1.284,No
A product cannot have types.,An account will be provided to the user to log in.,0,0,0,0,1.414,37,1,0,0,No
Product with stock zero will be deleted.,An account will be provided to the user to log in.,0.119,0.333,0,0.133,1.327,37,0.775,0,2.567,No
A restocked product should appear normally.,An account will be provided to the user to log in.,0,0,0,0,1.414,38,1,0,0,No
The user can add his name and photo.,User can filter product by categories and prices.,0.233,0,0,0.143,1.239,34,0.75,0,2.293,No
User can search a product.,User can filter product by categories and prices.,0.375,0.5,0,0.182,1.118,31,0.688,0,1.825,Yes
User can not save any product.,User can filter product by categories and prices.,0.28,0.5,0,0.167,1.2,29,0.713,0,1.967,No
"By clicking on a product, user can view details of a product.",User can filter product by categories and prices.,0.353,0.25,0,0.056,1.138,40,0.899,0,1.56,No
"Clicking on Buy Now, will take the user to checkout page.",User can filter product by categories and prices.,0.057,0,0,0,1.373,47,1,0,0,No
User must be logged in to checkout.,User can filter product by categories and prices.,0.072,0.25,0,0.071,1.362,35,0.867,0,1.062,No
"In the checkout page, the user can add a new address different from his own.",User can filter product by categories and prices.,0.099,0,0,0.048,1.343,58,0.911,0,1.965,No
The user can pay via Online Banking or select a cash on delivery method.,User can filter product by categories and prices.,0.11,0,0,0.048,1.334,50,0.907,0,1.819,No
Products must have details to show.,User can filter product by categories and prices.,0,0,0,0,1.414,37,1,0,0,No
The delivery address will be the same of the user's address.,User can filter product by categories and prices.,0.043,0,0,0,1.384,45,1,0,0,No
Cash on delivery is not an option.,User can filter product by categories and prices.,0,0,0,0,1.414,35,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,User can filter product by categories and prices.,0.057,0.167,0,0.056,1.373,40,0.894,0,1.445,No
User can add a product to the cart.,User can filter product by categories and prices.,0.253,0.5,0,0.231,1.222,25,0.625,0,3.44,No
"In the cart, any item can be removed or count can be changed.",User can filter product by categories and prices.,0.095,0,0,0.056,1.345,45,0.862,0,1.685,No
Cart should be easy and dynamic to use.,User can filter product by categories and prices.,0.067,0,0,0.067,1.366,39,0.875,0,1.147,No
Confirmation of cart will take the user to the checkout page.,User can filter product by categories and prices.,0.052,0,0,0,1.377,47,1,0,0,No
Cart will be saved even if the user logs out.,User can filter product by categories and prices.,0.06,0,0,0,1.371,41,1,0,0,No
Cart products cannot be changed.,User can filter product by categories and prices.,0,0,0,0,1.414,32,1,0,0,No
Cart will be empty if the user session ends.,User can filter product by categories and prices.,0.063,0,0,0,1.369,38,1,0,0,No
Multiple products will be added to cart.,User can filter product by categories and prices.,0,0,0,0,1.414,34,1,0,0,No
"In admin panel, the admin can add products to different categories.",User can filter product by categories and prices.,0.11,0.25,0,0.059,1.334,46,0.894,0,1.445,No
Admin can manage stocks in the inventory.,User can filter product by categories and prices.,0.072,0,0,0.071,1.362,36,0.867,0,1.062,No
Discount can be applied on any product.,User can filter product by categories and prices.,0.156,0.25,0,0.071,1.299,37,0.867,0,1.062,No
A product can have multiple variants.,User can filter product by categories and prices.,0.191,0.25,0,0.167,1.272,35,0.713,0,1.967,No
A product can belong to different categories.,User can filter product by categories and prices.,0.28,0.5,0,0.154,1.2,35,0.733,0,2.123,No
A product cannot have types.,User can filter product by categories and prices.,0.099,0.25,0,0.083,1.343,32,0.844,0,0.913,No
Product with stock zero will be deleted.,User can filter product by categories and prices.,0.072,0,0,0,1.362,36,1,0,0,No
A restocked product should appear normally.,User can filter product by categories and prices.,0.087,0.25,0,0.077,1.351,35,0.856,0,0.984,No
User can search a product.,The user can add his name and photo.,0.22,0,0,0.083,1.249,23,0.844,0,0.913,No
User can not save any product.,The user can add his name and photo.,0.171,0,0,0.077,1.288,19,0.856,0,0.984,No
"By clicking on a product, user can view details of a product.",The user can add his name and photo.,0.115,0,0,0.118,1.33,45,0.798,0,3.12,No
"Clicking on Buy Now, will take the user to checkout page.",The user can add his name and photo.,0.121,0.333,0,0.056,1.326,44,0.894,0,1.445,No
User must be logged in to checkout.,The user can add his name and photo.,0.072,0,0,0,1.362,28,1,0,0,No
"In the checkout page, the user can add a new address different from his own.",The user can add his name and photo.,0.372,1,0,0.222,1.121,52,0.643,0.056,7.86,No
The user can pay via Online Banking or select a cash on delivery method.,The user can add his name and photo.,0.175,0.167,0,0.158,1.284,45,0.721,0.059,5.457,No
Products must have details to show.,The user can add his name and photo.,0,0,0,0,1.414,28,1,0,0,No
The delivery address will be the same of the user's address.,The user can add his name and photo.,0.204,0.25,0,0.059,1.262,43,0.894,0,1.445,No
Cash on delivery is not an option.,The user can add his name and photo.,0,0,0,0,1.414,26,1,0,0,No
User must pay the bills using Dutch Bangla Bank or Bkash.,The user can add his name and photo.,0.121,0,0,0,1.326,40,1,0,0,No
User can add a product to the cart.,The user can add his name and photo.,0.368,1,0,0.143,1.124,24,0.75,0,2.293,Yes
"In the cart, any item can be removed or count can be changed.",The user can add his name and photo.,0.15,0,0,0.056,1.303,44,0.862,0,1.685,No
Cart should be easy and dynamic to use.,The user can add his name and photo.,0.067,0,0,0.067,1.366,30,0.875,0,1.147,No
Confirmation of cart will take the user to the checkout page.,The user can add his name and photo.,0.177,0.2,0,0.059,1.283,47,0.894,0,1.445,No
Cart will be saved even if the user logs out.,The user can add his name and photo.,0.127,0.333,0,0.059,1.321,34,0.889,0,1.338,No
Cart products cannot be changed.,The user can add his name and photo.,0,0,0,0,1.414,30,1,0,0,No
Cart will be empty if the user session ends.,The user can add his name and photo.,0.135,0.333,0,0.062,1.315,36,0.882,0,1.239,No
Multiple products will be added to cart.,The user can add his name and photo.,0,0,0,0,1.414,32,1,0,0,No
"In admin panel, the admin can add products to different categories.",The user can add his name and photo.,0.175,1,0,0.125,1.284,48,0.788,0,2.889,No
Admin can manage stocks in the inventory.,The user can add his name and photo.,0.156,0,0,0.071,1.299,29,0.867,0,1.062,No
Discount can be applied on any product.,The user can add his name and photo.,0.072,0,0,0.071,1.362,27,0.867,0,1.062,No
A product can have multiple variants.,The user can add his name and photo.,0.087,0,0,0.077,1.351,27,0.856,0,0.984,No
A product can belong to different categories.,The user can add his name and photo.,0.079,0,0,0.071,1.357,34,0.867,0,1.062,No
A product cannot have types.,The user can add his name and photo.,0,0,0,0,1.414,26,1,0,0,No
Product with stock zero will be deleted.,The user can add his name and photo.,0,0,0,0,1.414,33,1,0,0,No
A restocked product should appear normally.,The user can add his name and photo.,0,0,0,0,1.414,34,1,0,0,No
User can not save any product.,User can search a product.,0.45,1,0,0.375,1.049,10,0.453,0,1.37,No
"By clicking on a product, user can view details of a product.",User can search a product.,0.424,0.333,0,0.231,1.073,40,0.57,0,2.889,No
