req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
Users can save their progress.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.063,0.111,0,0.048,1.369,83,0.9,0.0,1.465,No
Implement a scoring system based on completion time and difficulty level.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.0,0.0,0,0.037,1.414,83,0.928,0.0,1.766,No
Include achievements for completing specific challenges or reaching milestones.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.0,0.0,0,0.0,1.414,82,1.0,0.0,0.0,No
Design a user-friendly interface with clear instructions for each puzzle type.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.041,0.111,0,0.077,1.385,81,0.855,0.0,3.531,No
Ensure responsiveness for both desktop and mobile devices.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.0,0.0,0,0.0,1.414,82,1.0,0.0,0.0,No
Include multiplayer functionality for users to solve puzzles collaboratively or compete against each other.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.117,0.111,0,0.033,1.329,86,0.935,0.0,1.964,No
Implement a chat or messaging feature for multiplayer interactions.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.0,0.0,0,0.04,1.414,83,0.921,0.0,1.649,No
Display leaderboards to showcase top scores and achievements.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.049,0.0,0,0.042,1.379,80,0.917,0.0,1.596,No
Allow users to compare their performance with friends or the global community.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.082,0.0,0,0.036,1.355,80,0.93,0.0,1.829,No
A scoring system should be available.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.135,0.5,0,0.095,1.315,86,0.813,0.0,3.006,No
"The game should be responsive for mobiles, desktops and tablets.","Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.09,0.5,0,0.08,1.349,73,0.849,0.0,3.411,No
There should not be any leaderboard.,"Users should be able to choose from a variety of puzzle types (e.g., crosswords, Sudoku, jigsaw puzzles).",0.121,0.5,0,0.095,1.326,81,0.813,0.0,3.006,No
Provide an intuitive and interactive interface for solving puzzles.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,53,1.0,0.0,0.0,No
Implement a timer for time-based challenges.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,43,1.0,0.0,0.0,No
Allow users to save progress and resume puzzles later.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,45,1.0,0.0,0.0,No
Include hints and solution options for users who need assistance.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,56,1.0,0.0,0.0,No
User will track their progress.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,44,1.0,0.0,0.0,No
User profile should contain user information.,Each puzzle type should have multiple difficulty levels.,0.067,0.0,0,0.077,1.366,40,0.856,0.0,0.984,No
"Only two puzzles will be the options, crosswords and sudoku.",Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,49,1.0,0.0,0.0,No
Puzzle will have five different difficulty levels.,Each puzzle type should have multiple difficulty levels.,0.368,1.0,0,0.25,1.124,26,0.6,0.0,3.185,Yes
Time elapsed should be tracked for time challenges.,Each puzzle type should have multiple difficulty levels.,0.06,0.0,0,0.067,1.371,40,0.875,0.0,1.147,No
Users can save their progress.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,43,1.0,0.0,0.0,No
Implement a scoring system based on completion time and difficulty level.,Each puzzle type should have multiple difficulty levels.,0.06,0.143,0,0.056,1.371,44,0.894,0.0,1.445,No
Include achievements for completing specific challenges or reaching milestones.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,62,1.0,0.0,0.0,No
Design a user-friendly interface with clear instructions for each puzzle type.,Each puzzle type should have multiple difficulty levels.,0.193,0.4,0,0.056,1.271,61,0.894,0.0,1.445,No
Ensure responsiveness for both desktop and mobile devices.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,46,1.0,0.0,0.0,No
Include multiplayer functionality for users to solve puzzles collaboratively or compete against each other.,Each puzzle type should have multiple difficulty levels.,0.05,0.0,0,0.0,1.378,83,1.0,0.0,0.0,No
Implement a chat or messaging feature for multiplayer interactions.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,51,1.0,0.0,0.0,No
Display leaderboards to showcase top scores and achievements.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,50,1.0,0.0,0.0,No
Allow users to compare their performance with friends or the global community.,Each puzzle type should have multiple difficulty levels.,0.0,0.0,0,0.0,1.414,62,1.0,0.0,0.0,No
A scoring system should be available.,Each puzzle type should have multiple difficulty levels.,0.087,0.0,0,0.077,1.351,40,0.856,0.0,0.984,No
"The game should be responsive for mobiles, desktops and tablets.",Each puzzle type should have multiple difficulty levels.,0.06,0.0,0,0.059,1.371,49,0.889,0.0,1.338,No
There should not be any leaderboard.,Each puzzle type should have multiple difficulty levels.,0.079,0.0,0,0.077,1.357,41,0.856,0.0,0.984,No
Implement a timer for time-based challenges.,Provide an intuitive and interactive interface for solving puzzles.,0.074,0.0,0,0.071,1.361,49,0.865,0.0,1.076,No
Allow users to save progress and resume puzzles later.,Provide an intuitive and interactive interface for solving puzzles.,0.126,0.2,0,0.059,1.322,53,0.889,0.0,1.318,No
Include hints and solution options for users who need assistance.,Provide an intuitive and interactive interface for solving puzzles.,0.119,0.0,0,0.118,1.327,53,0.789,0.0,2.824,No
User will track their progress.,Provide an intuitive and interactive interface for solving puzzles.,0.0,0.0,0,0.0,1.414,51,1.0,0.0,0.0,No
User profile should contain user information.,Provide an intuitive and interactive interface for solving puzzles.,0.0,0.0,0,0.0,1.414,52,1.0,0.0,0.0,No
"Only two puzzles will be the options, crosswords and sudoku.",Provide an intuitive and interactive interface for solving puzzles.,0.119,0.25,0,0.056,1.327,53,0.895,0.0,1.412,No
Puzzle will have five different difficulty levels.,Provide an intuitive and interactive interface for solving puzzles.,0.0,0.0,0,0.0,1.414,48,1.0,0.0,0.0,No
Time elapsed should be tracked for time challenges.,Provide an intuitive and interactive interface for solving puzzles.,0.056,0.0,0,0.062,1.374,48,0.882,0.0,1.231,No
Users can save their progress.,Provide an intuitive and interactive interface for solving puzzles.,0.0,0.0,0,0.0,1.414,51,1.0,0.0,0.0,No
Implement a scoring system based on completion time and difficulty level.,Provide an intuitive and interactive interface for solving puzzles.,0.056,0.0,0,0.053,1.374,57,0.9,0.0,1.512,No
Include achievements for completing specific challenges or reaching milestones.,Provide an intuitive and interactive interface for solving puzzles.,0.06,0.0,0,0.059,1.371,57,0.889,0.0,1.318,No
Design a user-friendly interface with clear instructions for each puzzle type.,Provide an intuitive and interactive interface for solving puzzles.,0.113,0.25,0,0.111,1.332,51,0.799,0.0,3.024,No
Ensure responsiveness for both desktop and mobile devices.,Provide an intuitive and interactive interface for solving puzzles.,0.135,0.0,0,0.133,1.315,50,0.764,0.0,2.462,No
Include multiplayer functionality for users to solve puzzles collaboratively or compete against each other.,Provide an intuitive and interactive interface for solving puzzles.,0.099,0.2,0,0.045,1.342,80,0.912,0.0,1.856,No
Implement a chat or messaging feature for multiplayer interactions.,Provide an intuitive and interactive interface for solving puzzles.,0.063,0.0,0,0.059,1.369,55,0.889,0.0,1.318,No
Display leaderboards to showcase top scores and achievements.,Provide an intuitive and interactive interface for solving puzzles.,0.063,0.0,0,0.062,1.369,55,0.882,0.0,1.231,No
Allow users to compare their performance with friends or the global community.,Provide an intuitive and interactive interface for solving puzzles.,0.0,0.0,0,0.0,1.414,61,1.0,0.0,0.0,No
A scoring system should be available.,Provide an intuitive and interactive interface for solving puzzles.,0.0,0.0,0,0.0,1.414,55,1.0,0.0,0.0,No
"The game should be responsive for mobiles, desktops and tablets.",Provide an intuitive and interactive interface for solving puzzles.,0.119,0.0,0,0.118,1.327,53,0.789,0.0,2.824,No
There should not be any leaderboard.,Provide an intuitive and interactive interface for solving puzzles.,0.0,0.0,0,0.0,1.414,52,1.0,0.0,0.0,No
Allow users to save progress and resume puzzles later.,Implement a timer for time-based challenges.,0.0,0.0,0,0.0,1.414,42,1.0,0.0,0.0,No
Include hints and solution options for users who need assistance.,Implement a timer for time-based challenges.,0.07,0.0,0,0.067,1.364,45,0.873,0.0,1.063,No
User will track their progress.,Implement a timer for time-based challenges.,0.0,0.0,0,0.0,1.414,33,1.0,0.0,0.0,No
User profile should contain user information.,Implement a timer for time-based challenges.,0.0,0.0,0,0.0,1.414,39,1.0,0.0,0.0,No
"Only two puzzles will be the options, crosswords and sudoku.",Implement a timer for time-based challenges.,0.0,0.0,0,0.0,1.414,49,1.0,0.0,0.0,No
Puzzle will have five different difficulty levels.,Implement a timer for time-based challenges.,0.0,0.0,0,0.0,1.414,37,1.0,0.0,0.0,No
Time elapsed should be tracked for time challenges.,Implement a timer for time-based challenges.,0.359,0.333,0,0.167,1.132,29,0.713,0.0,1.732,Yes
Users can save their progress.,Implement a timer for time-based challenges.,0.0,0.0,0,0.0,1.414,34,1.0,0.0,0.0,No
Implement a scoring system based on completion time and difficulty level.,Implement a timer for time-based challenges.,0.245,0.143,0,0.133,1.229,46,0.759,0.0,2.356,No
Include achievements for completing specific challenges or reaching milestones.,Implement a timer for time-based challenges.,0.16,0.25,0,0.071,1.296,52,0.865,0.0,0.96,No
Design a user-friendly interface with clear instructions for each puzzle type.,Implement a timer for time-based challenges.,0.067,0.0,0,0.133,1.366,60,0.759,0.0,2.356,No
Ensure responsiveness for both desktop and mobile devices.,Implement a timer for time-based challenges.,0.079,0.0,0,0.077,1.357,41,0.856,0.0,0.866,No
Include multiplayer functionality for users to solve puzzles collaboratively or compete against each other.,Implement a timer for time-based challenges.,0.059,0.0,0,0.053,1.372,82,0.895,0.0,1.612,No
Implement a chat or messaging feature for multiplayer interactions.,Implement a timer for time-based challenges.,0.171,0.167,0,0.25,1.288,41,0.595,0.0,2.879,No
Display leaderboards to showcase top scores and achievements.,Implement a timer for time-based challenges.,0.0,0.0,0,0.0,1.414,43,1.0,0.0,0.0,No
Allow users to compare their performance with friends or the global community.,Implement a timer for time-based challenges.,0.0,0.0,0,0.0,1.414,57,1.0,0.0,0.0,No
A scoring system should be available.,Implement a timer for time-based challenges.,0.0,0.0,0,0.0,1.414,33,1.0,0.0,0.0,No
"The game should be responsive for mobiles, desktops and tablets.",Implement a timer for time-based challenges.,0.07,0.0,0,0.067,1.364,47,0.873,0.0,1.063,No
There should not be any leaderboard.,Implement a timer for time-based challenges.,0.0,0.0,0,0.0,1.414,34,1.0,0.0,0.0,No
Include hints and solution options for users who need assistance.,Allow users to save progress and resume puzzles later.,0.119,0.167,0,0.118,1.327,49,0.789,0.0,2.824,No
User will track their progress.,Allow users to save progress and resume puzzles later.,0.082,0.2,0,0.0,1.355,41,1.0,0.0,0.0,No
User profile should contain user information.,Allow users to save progress and resume puzzles later.,0.0,0.0,0,0.0,1.414,42,1.0,0.0,0.0,No
"Only two puzzles will be the options, crosswords and sudoku.",Allow users to save progress and resume puzzles later.,0.119,0.2,0,0.118,1.327,48,0.789,0.0,2.824,Yes
Puzzle will have five different difficulty levels.,Allow users to save progress and resume puzzles later.,0.0,0.0,0,0.0,1.414,42,1.0,0.0,0.0,No
Time elapsed should be tracked for time challenges.,Allow users to save progress and resume puzzles later.,0.0,0.0,0,0.0,1.414,41,1.0,0.0,0.0,No
Users can save their progress.,Allow users to save progress and resume puzzles later.,0.295,1.0,0,0.077,1.187,37,0.854,0.0,1.008,Yes
Implement a scoring system based on completion time and difficulty level.,Allow users to save progress and resume puzzles later.,0.056,0.0,0,0.053,1.374,54,0.9,0.0,1.512,No
Include achievements for completing specific challenges or reaching milestones.,Allow users to save progress and resume puzzles later.,0.0,0.0,0,0.0,1.414,60,1.0,0.0,0.0,No
Design a user-friendly interface with clear instructions for each puzzle type.,Allow users to save progress and resume puzzles later.,0.0,0.0,0,0.0,1.414,54,1.0,0.0,0.0,No
Ensure responsiveness for both desktop and mobile devices.,Allow users to save progress and resume puzzles later.,0.063,0.0,0,0.062,1.369,45,0.882,0.0,1.231,No
Include multiplayer functionality for users to solve puzzles collaboratively or compete against each other.,Allow users to save progress and resume puzzles later.,0.157,0.4,0,0.15,1.299,75,0.736,0.0,5.568,No
Implement a chat or messaging feature for multiplayer interactions.,Allow users to save progress and resume puzzles later.,0.0,0.0,0,0.0,1.414,49,1.0,0.0,0.0,No
Display leaderboards to showcase top scores and achievements.,Allow users to save progress and resume puzzles later.,0.135,0.0,0,0.133,1.315,44,0.764,0.0,2.462,No
Allow users to compare their performance with friends or the global community.,Allow users to save progress and resume puzzles later.,0.171,0.4,0,0.167,1.288,48,0.713,0.062,4.857,No
A scoring system should be available.,Allow users to save progress and resume puzzles later.,0.0,0.0,0,0.0,1.414,40,1.0,0.0,0.0,No
"The game should be responsive for mobiles, desktops and tablets.",Allow users to save progress and resume puzzles later.,0.056,0.0,0,0.056,1.374,48,0.895,0.0,1.412,No
There should not be any leaderboard.,Allow users to save progress and resume puzzles later.,0.0,0.0,0,0.0,1.414,41,1.0,0.0,0.0,No
User will track their progress.,Include hints and solution options for users who need assistance.,0.0,0.0,0,0.0,1.414,52,1.0,0.0,0.0,No
User profile should contain user information.,Include hints and solution options for users who need assistance.,0.0,0.0,0,0.0,1.414,47,1.0,0.0,0.0,No
"Only two puzzles will be the options, crosswords and sudoku.",Include hints and solution options for users who need assistance.,0.112,0.167,0,0.053,1.332,46,0.9,0.0,1.469,No
Puzzle will have five different difficulty levels.,Include hints and solution options for users who need assistance.,0.0,0.0,0,0.0,1.414,52,1.0,0.0,0.0,No
Time elapsed should be tracked for time challenges.,Include hints and solution options for users who need assistance.,0.053,0.0,0,0.059,1.376,48,0.889,0.0,1.299,No
Users can save their progress.,Include hints and solution options for users who need assistance.,0.077,0.0,0,0.0,1.358,49,1.0,0.0,0.0,No
Implement a scoring system based on completion time and difficulty level.,Include hints and solution options for users who need assistance.,0.053,0.0,0,0.05,1.376,56,0.905,0.0,1.562,No
Include achievements for completing specific challenges or reaching milestones.,Include hints and solution options for users who need assistance.,0.119,0.167,0,0.118,1.327,48,0.789,0.0,2.762,No
Design a user-friendly interface with clear instructions for each puzzle type.,Include hints and solution options for users who need assistance.,0.051,0.0,0,0.05,1.378,61,0.905,0.0,1.562,No
Ensure responsiveness for both desktop and mobile devices.,Include hints and solution options for users who need assistance.,0.127,0.0,0,0.125,1.321,49,0.777,0.0,2.597,No
Include multiplayer functionality for users to solve puzzles collaboratively or compete against each other.,Include hints and solution options for users who need assistance.,0.147,0.333,0,0.143,1.306,71,0.748,0.0,5.637,No
Implement a chat or messaging feature for multiplayer interactions.,Include hints and solution options for users who need assistance.,0.06,0.0,0,0.056,1.371,51,0.895,0.0,1.381,No
Display leaderboards to showcase top scores and achievements.,Include hints and solution options for users who need assistance.,0.06,0.0,0,0.059,1.371,50,0.889,0.0,1.299,No
Allow users to compare their performance with friends or the global community.,Include hints and solution options for users who need assistance.,0.048,0.167,0,0.048,1.38,62,0.909,0.0,1.661,No
A scoring system should be available.,Include hints and solution options for users who need assistance.,0.0,0.0,0,0.0,1.414,48,1.0,0.0,0.0,No
"The game should be responsive for mobiles, desktops and tablets.",Include hints and solution options for users who need assistance.,0.112,0.0,0,0.111,1.332,51,0.8,0.0,2.937,No
There should not be any leaderboard.,Include hints and solution options for users who need assistance.,0.0,0.0,0,0.0,1.414,49,1.0,0.0,0.0,No
User profile should contain user information.,User will track their progress.,0.194,0.333,0,0.1,1.269,30,0.818,0.0,0.457,No
"Only two puzzles will be the options, crosswords and sudoku.",User will track their progress.,0.077,0.0,0,0.071,1.358,44,0.862,0.0,0.748,No
Puzzle will have five different difficulty levels.,User will track their progress.,0.093,0.0,0,0.091,1.346,36,0.832,0.0,0.517,No
Time elapsed should be tracked for time challenges.,User will track their progress.,0.0,0.0,0,0.0,1.414,35,1.0,0.0,0.0,No
Users can save their progress.,User will track their progress.,0.252,0.5,0,0.25,1.223,9,0.6,0.0,0.808,Yes
Implement a scoring system based on completion time and difficulty level.,User will track their progress.,0.0,0.0,0,0.0,1.414,60,1.0,0.0,0.0,No
Include achievements for completing specific challenges or reaching milestones.,User will track their progress.,0.0,0.0,0,0.0,1.414,63,1.0,0.0,0.0,No
Design a user-friendly interface with clear instructions for each puzzle type.,User will track their progress.,0.074,0.0,0,0.0,1.361,57,1.0,0.0,0.0,No
Ensure responsiveness for both desktop and mobile devices.,User will track their progress.,0.0,0.0,0,0.0,1.414,45,1.0,0.0,0.0,No
Include multiplayer functionality for users to solve puzzles collaboratively or compete against each other.,User will track their progress.,0.0,0.0,0,0.0,1.414,90,1.0,0.0,0.0,No
Implement a chat or messaging feature for multiplayer interactions.,User will track their progress.,0.0,0.0,0,0.0,1.414,52,1.0,0.0,0.0,No
Display leaderboards to showcase top scores and achievements.,User will track their progress.,0.0,0.0,0,0.0,1.414,47,1.0,0.0,0.0,No
Allow users to compare their performance with friends or the global community.,User will track their progress.,0.07,0.0,0,0.062,1.364,59,0.876,0.0,0.963,No
A scoring system should be available.,User will track their progress.,0.0,0.0,0,0.0,1.414,31,1.0,0.0,0.0,No
"The game should be responsive for mobiles, desktops and tablets.",User will track their progress.,0.0,0.0,0,0.0,1.414,52,1.0,0.0,0.0,No
There should not be any leaderboard.,User will track their progress.,0.0,0.0,0,0.0,1.414,27,1.0,0.0,0.0,No
"Only two puzzles will be the options, crosswords and sudoku.",User profile should contain user information.,0.0,0.0,0,0.0,1.414,45,1.0,0.0,0.0,No
Puzzle will have five different difficulty levels.,User profile should contain user information.,0.0,0.0,0,0.0,1.414,41,1.0,0.0,0.0,No
Time elapsed should be tracked for time challenges.,User profile should contain user information.,0.06,0.0,0,0.077,1.371,34,0.856,0.0,0.866,No
Users can save their progress.,User profile should contain user information.,0.0,0.0,0,0.0,1.414,32,1.0,0.0,0.0,No
Implement a scoring system based on completion time and difficulty level.,User profile should contain user information.,0.0,0.0,0,0.0,1.414,54,1.0,0.0,0.0,No
Include achievements for completing specific challenges or reaching milestones.,User profile should contain user information.,0.0,0.0,0,0.0,1.414,60,1.0,0.0,0.0,No
Design a user-friendly interface with clear instructions for each puzzle type.,User profile should contain user information.,0.127,0.0,0,0.0,1.321,58,1.0,0.0,0.0,No
Ensure responsiveness for both desktop and mobile devices.,User profile should contain user information.,0.0,0.0,0,0.0,1.414,44,1.0,0.0,0.0,No
