req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,decision,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25
"Using descriptive link labels: The target or purpose of a link should be directly
indicated by its label, avoiding generic labels such as “go” or “click here” except
where the purpose of the link is clear from its context on the page or the labels
have commonly understood semantics in the particular application domain. Using
appropriate terminology specific to the user’s tasks and information needs is
important for making the content easy to understand.",The help should be accessible to the users both in the offline and online mode,0.364,0.083,0,Yes,0.109,1.128,394,0.717,0.012,2202.6
"Marking links opening new windows: Links that open new browser windows or
pop-up windows should be clearly marked.",The help should be accessible to the users both in the offline and online mode,0.043,0.25,0,No,0.071,1.384,85,0.879,0.0,4.579
"Distinguishing navigation links from controls: Navigation links should be clearly
distinguishable from controls activating some action. Typical action types in user
interfaces include manipulating application data, performing searches,
communication actions, such as opening a new e-mail window or starting a chat
function, and Hpresentation-related actions, such as sorting a list of search results.",The help should be accessible to the users both in the offline and online mode,0.058,0.111,0,No,0.071,1.373,344,0.87,0.0,44.456
"Providing printable document versions: If a document is either too long, dispersed
over several pages or in a specific layout that is not suitable for online reading, a
printer-friendly version of the document should be provided that prints the
content in a form acceptable to the user (e.g. in the expected layout, paper format,
or orientation).",The help should be accessible to the users both in the offline and online mode,0.307,0.125,0,No,0.118,1.177,291,0.719,0.0,80.368
"Use of “white space”: “White space” on a page i.e. space filled only with the
background color should be used in such a way that it does not impair the visual
skimming of the page. While white space is an important means of visually
organizing the different content elements on a page, if the distance between the
blocks of information displayed becomes too large, rapid skimming of the page
can be impeded.",The help should be accessible to the users both in the offline and online mode,0.277,0.091,0,No,0.062,1.203,349,0.792,0.0,410.613
"Selecting appropriate page lengths The length of a page should be selected so as to
support the primary purpose and use of the page. Short pages are generally more
appropriate for homepages, navigation pages, or overview pages that need to be
read quickly. Longer pages can be more appropriate when users want to read the
content without interruptions or when the page needs to match a paper
counterpart.",The help should be accessible to the users both in the offline and online mode,0.311,0.077,0,No,0.127,1.174,345,0.687,0.0,294.573
"Using colour: Colour should be used with care, taking into account human
capabilities and restrictions in perceiving colour, and not as the only means of
conveying information. Color should never be the only means of coding. Some
users may have difficulties in perceiving certain colors or color combinations (color-blindness).",The help should be accessible to the users both in the offline and online mode,0.242,0.083,0,No,0.125,1.231,269,0.691,0.0,53.355
"Using frames with care: If frames are used, care should be taken to avoid possible
problems, for example, those involving the use of the back button, bookmarking
of pages, or scrolling of information. When frames are used, it is important to title
each frame, and to describe its purpose and how frames relate to one another
other.",The help should be accessible to the users both in the offline and online mode,0.202,0.077,0,No,0.093,1.263,273,0.76,0.0,71.62
"Providing alternatives to frame-based presentation: If frames are used, an
alternative way of presenting relevant information without frames should be
provided. Providing alternative text-only pages: When style sheets and/or frames
are turned off it should be possible for the user to read and understand the page;
alternatively, the user should be provided with an equivalent alternative text-only
page.",The help should be accessible to the users both in the offline and online mode,0.259,0.067,0,No,0.098,1.218,351,0.726,0.0,76.814
"Consistent page layout: Pages should be designed using consistent layout schemes,
supporting the user in finding similar information at the same position on different
pages. Overall layout schemes apply to all pages and are preferable when all pages
have a similar structure. Frequently, however, different pages have different
purposes and types of content. In such cases, pages can usually be grouped in
different categories, using one layout scheme for each category consistently.",The help should be accessible to the users both in the offline and online mode,0.172,0.083,0,No,0.094,1.287,422,0.769,0.0,615.92
"Placing title information consistently: Page titles should be placed in a consistent
location on the different pages.",The help should be accessible to the users both in the offline and online mode,0.209,0.333,0,No,0.148,1.258,90,0.727,0.0,8.789
"Observing principles of human perception When designing application pages, the
general principles of human perception should be taken into account. The
International Standards mentioned below shall be consulted for guidance. Practical
guidelines for presenting information to the user are to be found in ISO 9241-12.
Guidance on selecting and using different forms of interaction techniques is to be
found in ISO 9241-14 to ISO 9241-17. ISO 9241-14 gives guidance about menus,
ISO 9241-15 about command dialogues, ISO 9241-16 about direct manipulation
and ISO 9241-17 about forms. In addition, when designing multimedia
information presentations, the design principles and recommendations described
in ISO 14915-1 to ISO 14915-3 should be taken into account. Appropriate content
presentation also plays a key role in accessibility.",The help should be accessible to the users both in the offline and online mode,0.239,0.048,0,No,0.081,1.234,769,0.712,0.0,-72.975
"Linking back to the home page or landmark pages: Each page should contain a
link leading to the home page of the application or to a landmark page that is easy
to recognize for the user.",The help should be accessible to the users both in the offline and online mode,0.282,0.0,0,No,0.088,1.198,140,0.752,0.0,14.48
"Providing a site map: A separate navigation overview such as a site map should be
provided for application showing the structure of the site in an overview form.",The help should be accessible to the users both in the offline and online mode,0.203,0.25,0,No,0.121,1.263,123,0.761,0.0,13.801
"Consistency between navigation components and content: If navigation
components (or overviews) are shown in conjunction with associated content,
consistency between the navigation component and the content shown should be
maintained by indicating in the navigation component (e.g. highlighting) the topic
currently visible in the content area.",The help should be accessible to the users both in the offline and online mode,0.312,0.143,0,No,0.125,1.173,292,0.69,0.0,38.146
"Placing navigation components consistently: Navigation components should be
placed consistently on the pages or in the framesets in the pages of the application.",The help should be accessible to the users both in the offline and online mode,0.357,0.333,0,Yes,0.148,1.134,115,0.666,0.0,11.241
"Individualization and user adaptation : Adapting the content and the navigation of
a user interface to individual users or user groups can be a useful mechanism for
providing information that is of interest to the users and for making access to
relevant information more efficient. User adaptation can also be important for
making the user interface more accessible. Different approaches can be used for
achieving these goals, like providing users with means for customizing the user
interface to their personal needs i.e. individualization designing content and
navigation differently for varying user groups or roles i.e. such as employees of
different levels, citizens etc, monitoring the user’s behaviour and adapting to the
user’s goals that are inferred from the behaviour observed, recommending
information that is potentially more relevant or interesting to the specific user,
based on the behaviour of all users or a user group.",The help should be accessible to the users both in the offline and online mode,0.32,0.056,0,Yes,0.056,1.167,873,0.731,0.007,-39.847
"Taking account of the users’ tasks and information needs: When providing
different access paths or navigation structures for different user groups, the tasks
and information needs of these user groups should be taken into consideration.",The help should be accessible to the users both in the offline and online mode,0.211,0.2,0,No,0.105,1.256,186,0.77,0.0,18.496
"Making individualization and adaptation evident: It should be made evident to the
user when individualization and/or adaptation are used.",The help should be accessible to the users both in the offline and online mode,0.216,0.2,0,No,0.192,1.252,97,0.684,0.0,11.927
"Making user profiles evident: If predefined user profiles or user-specified profiles
are used for individualizing or adapting content, the profile currently used should
be made evident. If profiles are used, it is important to provide users with
information about this concept and its implications.",The help should be accessible to the users both in the offline and online mode,0.125,0.083,0,No,0.136,1.323,249,0.77,0.0,41.54
"Allowing users to see and change profiles: If user-specified profiles are used, users
should be able to see, modify and delete that profile on demand.",The help should be accessible to the users both in the offline and online mode,0.174,0.167,0,No,0.161,1.285,110,0.68,0.0,15.251
"The user interfaces of the system should follow the guidelines specified under
www.usability.gov",The help should be accessible to the users both in the offline and online mode,0.315,0.0,0,No,0.13,1.17,72,0.714,0.0,5.593
"The System must be available to users:
· from <xx:00> to <xx:00>;
· on <all weekdays/xxx days per year>.",The help should be accessible to the users both in the offline and online mode,0.192,0.333,0,No,0.107,1.271,77,0.799,0.0,7.156
"The planned downtime for the System must not exceed <xx> hours per <rolling
three month period>. The System is considered to be down if any user is unable to perform any normal
System function and if this failure is attributed to any component of the System
other than the workstation.",The help should be accessible to the users both in the offline and online mode,0.284,0.111,0,No,0.109,1.197,232,0.732,0.0,46.905
"Unplanned downtime for the System must not exceed <xx hours/minutes> per
<rolling three month period>.",The help should be accessible to the users both in the offline and online mode,0.095,0.0,0,No,0.036,1.346,77,0.908,0.0,2.024
"The number of incidents of unplanned downtime for the System must not exceed
<x> per <rolling three month period>.",The help should be accessible to the users both in the offline and online mode,0.167,0.0,0,No,0.067,1.291,78,0.861,0.0,4.771
"In the event of any software or hardware failure, it must be possible to restore the
System (with inline synchronization) within no more than <xx> hours.",The help should be accessible to the users both in the offline and online mode,0.237,0.5,0,No,0.083,1.235,109,0.801,0.0,9.534
"The System must provide adequate response times for commonly performed
functions under both standard and peak conditions",The help should be accessible to the users both in the offline and online mode,0.163,0.0,0,No,0.107,1.294,87,0.812,0.0,6.591
"The System must be able to perform a simple search within 5-8 seconds and a
advanced search (multiple search criteria) within 10-15 seconds regardless of the
storage capacity or number of cases in the system. In this context, performing a
search means returning a result list. It does not include retrieving the records
themselves.",The help should be accessible to the users both in the offline and online mode,0.264,0.125,0,No,0.118,1.213,273,0.757,0.0,70.81
"The System must be able to retrieve and display within 5-8 seconds the case which
has been accessed within the previous 2 months, regardless of storage capacity or
number of cases in the system. This requirement is intended to allow for rapid
retrieval of frequently-used cases, on the understanding that frequency of use is
typically correlated with recent use.",The help should be accessible to the users both in the offline and online mode,0.286,0.091,0,No,0.103,1.195,306,0.739,0.0,99.188
"The System must be able to retrieve and display within 20 seconds the case which
has not been accessed within the previous 2 months, regardless of storage capacity
or number of cases in the system. This requirement is intended to allow for cases
where cases used infrequently are stored on slower media than more active
records.",The help should be accessible to the users both in the offline and online mode,0.27,0.077,0,No,0.105,1.208,271,0.746,0.0,80.368
"The System be scaleable and must not have any features which would preclude use
in small or large police stations, with varying numbers of cases handled.",The help should be accessible to the users both in the offline and online mode,0.16,0.2,0,No,0.111,1.296,113,0.801,0.0,12.711
"The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any 
 action has been taken on the alert",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.436,0.222,0,Yes,0.235,1.062,88,0.564,0.024,21.972
The solution should enable the user to track the submitted defect or enhancement request.,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.519,0.5,0,Yes,0.36,0.98,77,0.437,0.067,18.209
"The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and agewise.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.505,0.5,0,Yes,0.414,0.995,83,0.39,0.081,30.3
The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.436,0.429,0,Yes,0.206,1.062,88,0.608,0.025,18.177
"An audit trail is a record of actions taken by either the user or the system triggers. This includes actions taken by users or Administrators, or actions initiated automatically by the system as a result of system parameters. The System must keep an unalterable audit trail capable of automatically capturing and storing information about: All the actions (create/read/update/delete) that are taken upon the critical entities (case, suspect, property,…) in the system The user initiating and or carrying out the action; The date and time of the event. Administrative parameters The word “unalterable” is to mean that the audit trail data cannot be modified in any way or deleted by any user; it may be subject to re-department and copying to removable media if required, so long as its contents remain unchanged.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.367,0.023,0,Yes,0.082,1.125,701,0.709,0.0,-255.165
"The System must allow only admin-users to set up user profiles and allocate
users to groups.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.18,0.0,0,No,0.125,1.281,100,0.77,0.0,8.546
"Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.216,0.0,0,No,0.077,1.253,113,0.811,0.0,8.24
"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.272,0.0,0,No,0.103,1.207,98,0.761,0.0,11.619
"The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.157,0.0,0,No,0.107,1.299,202,0.796,0.0,30.551
The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System). This functionality can be used by external auditors who wish to examine or analyse system activity.,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.199,0.0,0,No,0.104,1.266,163,0.778,0.0,19.207
"The System must be able to capture and store violations (i.e. A user’s attempts to access a case to which he is denied access), and (where violations can validly be attempted) attempted violations, of access control mechanisms.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.136,0.0,0,No,0.061,1.314,162,0.856,0.0,11.524
The System must at a minimum be able to provide reports for actions on cases organised: By case,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.2,0.333,0,No,0.147,1.265,96,0.749,0.0,11.29
"The System should be able to provide reports for actions on cases organised by
workstation and (where technically appropriate) by network address.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.222,0.333,0,No,0.2,1.248,104,0.682,0.0,17.675
"The System must allow the user to limit access to cases to specified users or
user groups.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.304,0.143,0,No,0.167,1.18,96,0.674,0.029,10.981
The system should provide for role-based control for the functionality within the system,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.344,0.5,0,Yes,0.192,1.146,83,0.632,0.0,9.849
The System must allow a user to be a member of more than one group.,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.157,0.143,0,No,0.094,1.298,97,0.836,0.0,6.236
"The System should allow a user to stipulate which other users or groups can
access cases.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.215,0.143,0,No,0.156,1.253,92,0.735,0.0,10.682
"The System must allow changes to security attributes for groups or users (such
as access rights, security level, privileges, password allocation and management)
to be made only by super-user.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.183,0.0,0,No,0.116,1.279,136,0.787,0.0,15.36
"If a user requests access to, or searches for, a case which he does not have the
right to access, the System must provide one of the following responses
(selectable at configuration time):
· display title and metadata;
· display the existence of a case but not its title or other metadata;
· do not display any case information or indicate its existence in any way.
These options are presented in order of increasing security. Note that the
requirement in the third option (i.e. the most stringent) implies that the System
must not include such cases in any count of search results; this level of security
is normally appropriate for cases dealing with matters such as national security.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.294,0.067,0,No,0.099,1.188,590,0.754,0.0,-692.32
"8.
If a user performs a quick or advanced search, the System must never include in
the search result list any record which the user does not have the right to access.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.319,0.091,0,Yes,0.116,1.167,124,0.729,0.0,16.704
"If the System allows users to make unauthorised attempts to access cases, it
must log these in the audit trail.",The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,0.217,0.333,0,No,0.083,1.252,98,0.792,0.0,7.162
